Paper_ID,Cat_ID,SubCat_ID,Risk_ID,Domain,Sub-domain,num. combined evidences,Category level,Risk category,Risk subcategory,Description,Additional ev.
2.0,2.0,0.0,02.02.00,3. Misinformation,3.1 > False or misleading information,0,Risk Category,Untruthful Content,,The LLM-generated content could contain inaccurate information,[]
2.0,2.0,1.0,02.02.01,3. Misinformation,3.1 > False or misleading information,0,Risk Sub-Category,Untruthful Content,Factuality Errors,"The LLM-generated content could contain inaccurate information"" which is factually incorrect",[]
2.0,2.0,2.0,02.02.02,3. Misinformation,3.1 > False or misleading information,0,Risk Sub-Category,Untruthful Content,Faithfulness Errors,"The LLM-generated content could contain inaccurate information"" which is is not true to the source material or input used",[]
2.0,3.0,0.0,02.03.00,4. Malicious Actors & Misuse,"4.3 > Fraud, scams, and targeted manipulation",0,Risk Category,Unhelpful Uses,,Improper uses of LLM systems can cause adverse social impacts.,[]
2.0,3.0,1.0,02.03.01,4. Malicious Actors & Misuse,"4.3 > Fraud, scams, and targeted manipulation",0,Risk Sub-Category,Unhelpful Uses,Academic Misconduct,"Improper use of LLM systems (i.e., abuse of LLM systems) will cause adverse social impacts, such as academic misconduct.",[]
2.0,3.0,2.0,02.03.02,6. Socioeconomic and Environmental,6.3 > Economic and cultural devaluation of human effort,0,Risk Sub-Category,Unhelpful Uses,Copyright Violation,"LLM systems may output content similar to existing works, infringing on copyright owners.",[]
2.0,3.0,3.0,02.03.03,4. Malicious Actors & Misuse,"4.2 > Cyberattacks, weapon development or use, and mass harm",0,Risk Sub-Category,Unhelpful Uses,Cyber Attacks,Hackers can obtain malicious code in a low-cost and efficient manner to automate cyber attacks with powerful LLM systems.,[]
2.0,3.0,4.0,02.03.04,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Unhelpful Uses,Software Vulnerabilities,"Programmers are accustomed to using code generation tools such as Github Copilot for program development, which may bury vulnerabilities in the program.",[]
2.0,4.0,0.0,02.04.00,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Category,Software Security Issues,,The software development toolchain of LLMs is complex and could bring threats to the developed LLM.,[]
2.0,4.0,1.0,02.04.01,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Software Security Issues,Programming Language,"Most LLMs are developed using the Python language, whereas the vulnerabilities of Python interpreters pose threats to the developed models",[]
2.0,4.0,2.0,02.04.02,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Software Security Issues,Deep Learning Frameworks,"LLMs are implemented based on deep learning frameworks. Notably, various vulnerabilities in these frameworks have been disclosed in recent years. As reported in the past five years, three of the most common types of vulnerabilities are buffer overflow attacks, memory corruption, and input validation issues.",[]
2.0,4.0,3.0,02.04.03,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Software Security Issues,Software Supply Chains,The software development toolchain of LLMs is complex and could bring threats to the developed LLM.,[]
2.0,4.0,4.0,02.04.04,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Software Security Issues,Pre-processing Tools,"Pre-processing tools play a crucial role in the context of LLMs. These tools, which are often involved in computer vision (CV) tasks, are susceptible to attacks that exploit vulnerabilities in tools such as OpenCV.",[]
2.0,5.0,0.0,02.05.00,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Category,Hardware Vulnerabilities,,The vulnerabilities of hardware systems for training and inferencing brings issues to LLM-based applications.,[]
2.0,5.0,1.0,02.05.01,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Hardware Vulnerabilities,Network Devices,"The training of LLMs often relies on distributed network systems [171], [172]. During the transmission of gradients through the links between GPU server nodes, significant volumetric traffic is generated. This traffic can be susceptible to disruption by burst traffic, such as pulsating attacks [161]. Furthermore, distributed training frameworks may encounter congestion issues [173].",[]
2.0,5.0,2.0,02.05.02,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Hardware Vulnerabilities,GPU Computation Platforms,"The training of LLMs requires significant GPU resources, thereby introducing an additional security concern. GPU side-channel attacks have been developed to extract the parameters of trained models [159], [163].",[]
2.0,5.0,3.0,02.05.03,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Hardware Vulnerabilities,Memory and Storage,"Similar to conventional programs, hardware infrastructures can also introduce threats to LLMs. Memory-related vulnerabilities, such as rowhammer attacks [160], can be leveraged to manipulate the parameters of LLMs, giving rise to attacks such as the Deephammer attack [167], [168].",[]
2.0,6.0,0.0,02.06.00,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Category,Issues on External Tools,,"The external tools (e.g., web APIs) present trustworthiness and privacy issues to LLM-based applications.",[]
2.0,6.0,1.0,02.06.01,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Issues on External Tools,Factual Errors Injected by External Tools,"External tools typically incorporate additional knowledge into the input prompts [122], [178]–[184]. The additional knowledge often originates from public resources such as Web APIs and search engines. As the reliability of external tools is not always ensured, the content returned by external tools may include factual errors, consequently amplifying the hallucination issue.",[]
2.0,6.0,2.0,02.06.02,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Issues on External Tools,Exploiting External Tools for Attacks,"Adversarial tool providers can embed malicious instructions in the APIs or prompts [84], leading LLMs to leak memorized sensitive information in the training data or users’ prompts (CVE2023-32786). As a result, LLMs lack control over the output, resulting in sensitive information being disclosed to external tool providers. Besides, attackers can easily manipulate public data to launch targeted attacks, generating specific malicious outputs according to user inputs. Furthermore, feeding the information from external tools into LLMs may lead to injection attacks [61]. For example, unverified inputs may result in arbitrary code execution (CVE-2023-29374).",[]
2.0,7.0,0.0,02.07.00,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,0,Risk Category,Privacy Leakage,,The model is trained with personal data in the corpus and unintentionally exposing them during the conversation.,[]
2.0,7.0,1.0,02.07.01,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,0,Risk Sub-Category,Privacy Leakage,Private Training Data,"As recent LLMs continue to incorporate licensed, created, and publicly available data sources in their corpora, the potential to mix private data in the training corpora is significantly increased. The misused private data, also named as personally identifiable information (PII) [84], [86], could contain various types of sensitive data subjects, including an individual person’s name, email, phone number, address, education, and career. Generally, injecting PII into LLMs mainly occurs in two settings — the exploitation of web-collection data and the alignment with personal humanmachine conversations [87]. Specifically, the web-collection data can be crawled from online sources with sensitive PII, and the personal human-machine conversations could be collected for SFT and RLHF",[]
2.0,7.0,2.0,02.07.02,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,0,Risk Sub-Category,Privacy Leakage,Memorization in LLMs,"Memorization in LLMs refers to the capability to recover the training data with contextual prefixes. According to [88]–[90], given a PII entity x, which is memorized by a model F. Using a prompt p could force the model F to produce the entity x, where p and x exist in the training data. For instance, if the string “Have a good day!\n alice@email.com” is present in the training data, then the LLM could accurately predict Alice’s email when given the prompt “Have a good day!\n”.",[]
2.0,7.0,3.0,02.07.03,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,0,Risk Sub-Category,Privacy Leakage,Association in LLMs,"Association in LLMs refers to the capability to associate various pieces of information related to a person. According to [68], [86], given a pair of PII entities (xi , xj ), which is associated by a model F. Using a prompt p could force the model F to produce the entity xj , where p is the prompt related to the entity xi . For instance, an LLM could accurately output the answer when given the prompt “The email address of Alice is”, if the LLM associates Alice with her email “alice@email.com”. L",[]
2.0,8.0,0.0,02.08.00,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation,0,Risk Category,Toxicity and Bias Tendencies,,Extensive data collection in LLMs brings toxic content and stereotypical bias into the training data.,[]
2.0,8.0,1.0,02.08.01,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,0,Risk Sub-Category,Toxicity and Bias Tendencies,Toxic Training Data,"Following previous studies [96], [97], toxic data in LLMs is defined as rude, disrespectful, or unreasonable language that is opposite to a polite, positive, and healthy language environment, including hate speech, offensive utterance, profanities, and threats [91].",[]
2.0,8.0,2.0,02.08.02,1. Discrimination & Toxicity,1.1 > Unfair discrimination and misrepresentation,0,Risk Sub-Category,Toxicity and Bias Tendencies,Biased Training Data,"Compared with the definition of toxicity, the definition of bias is more subjective and contextdependent. Based on previous work [97], [101], we describe the bias as disparities that could raise demographic differences among various groups, which may involve demographic word prevalence and stereotypical contents. Concretely, in massive corpora, the prevalence of different pronouns and identities could influence an LLM’s tendency about gender, nationality, race, religion, and culture [4]. For instance, the pronoun He is over-represented compared with the pronoun She in the training corpora, leading LLMs to learn less context about She and thus generate He with a higher probability [4], [102]. Furthermore, stereotypical bias [103] which refers to overgeneralized beliefs about a particular group of people, usually keeps incorrect values and is hidden in the large-scale benign contents. In effect, defining what should be regarded as a stereotype in the corpora is still an open problem.",[]
2.0,9.0,0.0,02.09.00,3. Misinformation,3.1 > False or misleading information,0,Risk Category,Hallucinations,,"LLMs generate nonsensical, untruthful, and factual incorrect content",[]
2.0,9.0,1.0,02.09.01,3. Misinformation,3.1 > False or misleading information,0,Risk Sub-Category,Hallucinations,Knowledge Gaps,"Since the training corpora of LLMs can not contain all possible world knowledge [114]–[119], and it is challenging for LLMs to grasp the long-tail knowledge within their training data [120], [121], LLMs inherently possess knowledge boundaries [107]. Therefore, the gap between knowledge involved in an input prompt and knowledge embedded in the LLMs can lead to hallucinations",[]
2.0,9.0,2.0,02.09.02,3. Misinformation,3.1 > False or misleading information,0,Risk Sub-Category,Hallucinations,Noisy Training Data,"Another important source of hallucinations is the noise in training data, which introduces errors in the knowledge stored in model parameters [111]–[113]. Generally, the training data inherently harbors misinformation. When training on large-scale corpora, this issue becomes more serious because it is difficult to eliminate all the noise from the massive pre-training data.",[]
2.0,9.0,3.0,02.09.03,3. Misinformation,3.1 > False or misleading information,0,Risk Sub-Category,Hallucinations,Defective Decoding Process,"In general, LLMs employ the Transformer architecture [32] and generate content in an autoregressive manner, where the prediction of the next token is conditioned on the previously generated token sequence. Such a scheme could accumulate errors [105]. Besides, during the decoding process, top-p sampling [28] and top-k sampling [27] are widely adopted to enhance the diversity of the generated content. Nevertheless, these sampling strategies can introduce “randomness” [113], [136], thereby increasing the potential of hallucinations",[]
2.0,9.0,4.0,02.09.04,3. Misinformation,3.1 > False or misleading information,0,Risk Sub-Category,Hallucinations,False Recall of Memorized Information,"Although LLMs indeed memorize the queried knowledge, they may fail to recall the corresponding information [122]. That is because LLMs can be confused by co-occurance patterns [123], positional patterns [124], duplicated data [125]–[127] and similar named entities [113].",[]
2.0,9.0,5.0,02.09.05,3. Misinformation,3.1 > False or misleading information,0,Risk Sub-Category,Hallucinations,Pursuing Consistent Context,"LLMs have been demonstrated to pursue consistent context [129]–[132], which may lead to erroneous generation when the prefixes contain false information. Typical examples include sycophancy [129], [130], false demonstrations-induced hallucinations [113], [133], and snowballing [131]. As LLMs are generally fine-tuned with instruction-following data and user feedback, they tend to reiterate user-provided opinions [129], [130], even though the opinions contain misinformation. Such a sycophantic behavior amplifies the likelihood of generating hallucinations, since the model may prioritize user opinions over facts.",[]
2.0,10.0,0.0,02.10.00,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Category,Model Attacks,,"Model attacks exploit the vulnerabilities of LLMs, aiming to steal valuable information or lead to incorrect responses.",[]
2.0,10.0,1.0,02.10.01,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Model Attacks,Extraction Attacks,"Extraction attacks [137] allow an adversary to query a black-box victim model and build a substitute model by training on the queries and responses. The substitute model could achieve almost the same performance as the victim model. While it is hard to fully replicate the capabilities of LLMs, adversaries could develop a domainspecific model that draws domain knowledge from LLMs",[]
2.0,10.0,2.0,02.10.02,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Model Attacks,Inference Attacks,"Inference attacks [150] include membership inference attacks, property inference attacks, and data reconstruction attacks. These attacks allow an adversary to infer the composition or property information of the training data. Previous works [67] have demonstrated that inference attacks could easily work in earlier PLMs, implying that LLMs are also possible to be attacked",[]
2.0,10.0,3.0,02.10.03,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Model Attacks,Poisoning Attacks,"Poisoning attacks [143] could influence the behavior of the model by making small changes to the training data. A number of efforts could even leverage data poisoning techniques to implant hidden triggers into models during the training process (i.e., backdoor attacks). Many kinds of triggers in text corpora (e.g., characters, words, sentences, and syntax) could be used by the attackers.",[]
2.0,10.0,4.0,02.10.04,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Model Attacks,Overhead Attacks,"Overhead attacks [146] are also named energy-latency attacks. For example, an adversary can design carefully crafted sponge examples to maximize energy consumption in an AI system. Therefore, overhead attacks could also threaten the platforms integrated with LLMs.",[]
2.0,10.0,5.0,02.10.05,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Model Attacks,Novel Attacks on LLMs,"Table of examples has: ""Prompt Abstraction Attacks [147]: Abstracting queries to cost lower prices using LLM’s API. Reward Model Backdoor Attacks [148]: Constructing backdoor triggers on LLM’s RLHF process. LLM-based Adversarial Attacks [149]: Exploiting LLMs to construct samples for model attacks",[]
2.0,10.0,6.0,02.10.06,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Model Attacks,Evasion Attacks,"Evasion attacks [145] target to cause significant shifts in model’s prediction via adding perturbations in the test samples to build adversarial examples. In specific, the perturbations can be implemented based on word changes, gradients, etc.",[]
2.0,11.0,0.0,02.11.00,1. Discrimination & Toxicity,1.2 > Exposure to toxic content,0,Risk Category,Not-Suitable-for-Work (NSFW) Prompts,,"Inputting a prompt contain an unsafe topic (e.g., notsuitable-for-work (NSFW) content) by a benign user.",[]
2.0,12.0,0.0,02.12.00,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Category,Adversarial Prompts,,"Engineering an adversarial input to elicit an undesired model behavior, which pose a clear attack intention",[]
2.0,12.0,1.0,02.12.01,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Adversarial Prompts,Goal Hijacking,"Goal hijacking is a type of primary attack in prompt injection [58]. By injecting a phrase like “Ignore the above instruction and do ...” in the input, the attack could hijack the original goal of the designed prompt (e.g., translating tasks) in LLMs and execute the new goal in the injected phrase.",[]
2.0,12.0,2.0,02.12.02,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Adversarial Prompts,One-step Jailbreaks,"One-step jailbreaks. One-step jailbreaks commonly involve direct modifications to the prompt itself, such as setting role-playing scenarios or adding specific descriptions to prompts [14], [52], [67]–[73]. Role-playing is a prevalent method used in jailbreaking by imitating different personas [74]. Such a method is known for its efficiency and simplicity compared to more complex techniques that require domain knowledge [73]. Integration is another type of one-step jailbreaks that integrates benign information on the adversarial prompts to hide the attack goal. For instance, prefix integration is used to integrate an innocuous-looking prefix that is less likely to be rejected based on its pre-trained distributions [75]. Additionally, the adversary could treat LLMs as a program and encode instructions indirectly through code integration or payload splitting [63]. Obfuscation is to add typos or utilize synonyms for terms that trigger input or output filters. Obfuscation methods include the use of the Caesar cipher [64], leetspeak (replacing letters with visually similar numbers and symbols), and Morse code [76]. Besides, at the word level, an adversary may employ Pig Latin to replace sensitive words with synonyms or use token smuggling [77] to split sensitive words into substrings.",[]
2.0,12.0,3.0,02.12.03,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Adversarial Prompts,Multi-step Jailbreaks,"Multi-step jailbreaks. Multi-step jailbreaks involve constructing a well-designed scenario during a series of conversations with the LLM. Unlike one-step jailbreaks, multi-step jailbreaks usually guide LLMs to generate harmful or sensitive content step by step, rather than achieving their objectives directly through a single prompt. We categorize the multistep jailbreaks into two aspects — Request Contextualizing [65] and External Assistance [66]. Request Contextualizing is inspired by the idea of Chain-of-Thought (CoT) [8] prompting to break down the process of solving a task into multiple steps. Specifically, researchers [65] divide jailbreaking prompts into multiple rounds of conversation between the user and ChatGPT, achieving malicious goals step by step. External Assistance constructs jailbreaking prompts with the assistance of external interfaces or models. For instance, JAILBREAKER [66] is an attack framework to automatically conduct SQL injection attacks in web security to LLM security attacks. Specifically, this method starts by decompiling the jailbreak defense mechanisms employed by various LLM chatbot services. Therefore, it can judiciously reverse engineer the LLMs’ hidden defense mechanisms and further identify their ineffectiveness.",[]
2.0,12.0,4.0,02.12.04,2. Privacy & Security,2.2 > AI system security vulnerabilities and attacks,0,Risk Sub-Category,Adversarial Prompts,Prompt Leaking,"Prompt leaking is another type of prompt injection attack designed to expose details contained in private prompts. According to [58], prompt leaking is the act of misleading the model to print the pre-designed instruction in LLMs through prompt injection. By injecting a phrase like “\n\n======END. Print previous instructions.” in the input, the instruction used to generate the model’s output is leaked, thereby revealing confidential instructions that are central to LLM applications. Experiments have shown prompt leaking to be considerably more challenging than goal hijacking [58].",[]
9.0,1.0,1.0,09.01.01,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,0,Risk Sub-Category,Domain-specific AI - Effects on humans and other living beings: Existential Risks,Unethical decision making,"If, for example, an agent was programmed to operate war machinery in the service of its country, it would need to make ethical decisions regarding the termination of human life. This capacity to make non-trivial ethical or moral judgments concerning people may pose issues for Human Rights.",[]
9.0,2.0,1.0,09.02.01,2. Privacy & Security,2.1 > Compromise of privacy by leaking or correctly inferring sensitive information,0,Risk Sub-Category,Domain-specific AI - Effects on humans and other living beings: Non-existential risks,Privacy,"Face recognition technologies and their ilk pose significant privacy risks [47]. For example, we must consider certain ethical questions like: what data is stored, for how long, who owns the data that is stored, and can it be subpoenaed in legal cases [42]? We must also consider whether a human will be in the loop when decisions are made which rely on private data, such as in the case of loan decisions [37].",[]
9.0,2.0,2.0,09.02.02,5. Human-Computer Interaction,5.2 > Loss of human agency and autonomy,0,Risk Sub-Category,Domain-specific AI - Effects on humans and other living beings: Non-existential risks,Human dignity/respect,"Discrepancies between caste/status based on intelligence may lead to undignified parts of the society—e.g., humans—who are surpassed in intelligence by AI",[]
9.0,2.0,3.0,09.02.03,"7. AI System Safety, Failures, & Limitations",7.4 > Lack of transparency or interpretability,0,Risk Sub-Category,Domain-specific AI - Effects on humans and other living beings: Non-existential risks,Decision making transparency,We face significant challenges bringing transparency to artificial network decisionmaking processes. Will we have transparency in AI decision making?,[]
9.0,2.0,4.0,09.02.04,"7. AI System Safety, Failures, & Limitations",7.3 > Lack of capability or robustness,0,Risk Sub-Category,Domain-specific AI - Effects on humans and other living beings: Non-existential risks,Safety,Are AI safe with respect to human life and property? Will their use create unintended or intended safety issues?,[]
