Mitigation_ID,Action Name,Action Definition,MitigationCode
33,Governance Responses to Worst-case of Misuse Scenarios,"Establish governance processes to ensure internal clarity in response to worst-case or consistent misuse scenarios. Such processes could draw on similar accountability and governance mechanisms used within a Responsible Capability Scaling policy. It may be valuable to clarify the approvals needed to roll back a model to a previous version or withdraw a model, the types of misuse that would warrant such actions, and the timeframe under which such actions would occur.",1.1 Board Structure & Oversight
34,Risk-focused governance structures,"Companies adopt practices typical of high-reliability organizations (HROs), including board risk committees, chief risk officers, multi-party authorization requirements, ethics boards for reviewing development and deployment decisions, and internal audit teams that report directly to the board, tasked with auditing risk management practices.",1.1 Board Structure & Oversight
35,Bowtie Method,"A technique for visualising risk quantitatively and qualitatively, providing clear differentiation between proactive and reactive risk management, intended to help prevent and mitigate major accident hazards. Oil companies and national governments use the bowtie method.",1.2 Risk Management
36,Defence in Depth,"The idea that multiple independent and overlapping layers of defence can be implemented such that if one fails, others will still be effective. An example comes from the field of infectious diseases, where multiple preventative measures (e.g. vaccines, masks, hand washing) can layer to reduce overall risk.",1.2 Risk Management
37,Risk management frameworks,"Whole organisation frameworks to reduce gaps in risk coverage and ensure various risk activities (i.e. all of the above) are cohesively structured and aligned, risk roles and responsibilities are clearly defined, and checks and balances are in place to avoid silos and manage conflicts of interest. In other safety critical industries, the Three Lines of Defence framework – separating risk ownership, oversight and audit – is widely used and can be usefully applied to advanced AI companies",1.2 Risk Management
39,Risk Taxonomy,A way to categorise and organise risks across multiple dimensions. There are several well- known risk taxonomies for AI.,1.2 Risk Management
40,Risk Tolerance,"The level of risk an organisation is willing to take on. In AI, risks tolerances are often left up to AI companies, but regulatory regimes can help identify unacceptable risks that are legally prohibited",1.2 Risk Management
42,Threat Modelling,A process to identify threats and vulnerabilities to a system. Threat modelling is commonly used to support AI security throughout AI research and development,1.2 Risk Management
43,Delphi Method,A group decision-making technique that uses a series of questionnaires to gather consensus from a panel of experts. The Delphi method has been used to help identify key AI risks.,1.2 Risk Management
44,Risk Matrices,"A visual tool that helps prioritise risks according to their likelihood of occurrence and potential impact. Risk matrices are used in many industries and for many purposes, such as by financial institutions for evaluating credit risk, or by companies to assess possible disruptions to their supply chains",1.2 Risk Management
45,Independent third-party risk assessments,"Developers can be required to have an independent third-party conduct and produce a report (including access, methods, and findings) on risk assessments of frontier systems (Raji et al., 2022; Anderljung et al., 2023; Casper et al., 2024). They can also be required to document if and what “safe harbor” policies they have to facilitate independent evaluation and red-teaming (Longpre et al., 2024).",1.2 Risk Management
46,Internal risk assessments,Developers can be required to conduct and report on internal risk assessments of frontier systems.,1.2 Risk Management
47,Establish AI legal compliance process,"Evaluate and document how the AI system complies with relevant regulations and standards, identifying use case-specific legal risks and required controls. Apply the organization’s legal compliance framework to ensure appropriate safeguards are in place, with clear documentation of compliance assessments and risk mitigations.",1.2 Risk Management
48,Establish AI Risk Management System,"Implement a comprehensive AI risk management system including risk assessment processes, monitoring frameworks, governance structures, and response procedures.",1.2 Risk Management
49,Adopted Risk Management Frameworks,Does your firm implement any of the following risk management approaches? ISO 31000 NIST AI Risk Management Framework The 3 Lines of Defense Model (3LOD),1.2 Risk Management
51,Implementation of cybersecurity frameworks,AGI labs should comply with information security standards (e.g. ISO/IEC 27001 or NIST Cybersecurity Framework). These standards need to be tailored to an AGI context.,1.2 Risk Management
52,Independent Delphi Risk Assessments,Is your organization collaborating with independent experts to conduct full Delphi processes to more accurately assess the risks associated with large development or deployment decisions?,1.2 Risk Management
53,Ongoing model risk assessments,"Is your organization committed to regularly repeating risk assessments for its most capable models to account for progress in post-deployment model enhancements (e.g., scaffolding programs, tool use, prompt engineering)? If yes, please comment on the frequency and scope of these repeated model-specific risk assessments.",1.2 Risk Management
55,Pre-specified risk tolerance,"Does the firm pre-specify its risk tolerance as part of its risk management approach to prevent unacceptable risks? If your firm sets any quantitative risk thresholds, please describe them here.",1.2 Risk Management
56,Enterprise risk management,AGI labs should implement an enterprise risk management (ERM) framework (e.g. the NIST AI Risk Management Framework or ISO 31000). This framework should be tailored to an AGI context and primarily focus on the lab’s impact on society.,1.2 Risk Management
57,Internal review before publications,"Before publishing research, AGI labs should conduct an internal review to assess potential harms.",1.2 Risk Management
60,Developers “shall consider” guidance from US AISI and NIST and other reputable standard-setting organizations,"This strategy involves actively incorporating established best practices and guidelines from leading AI safety and security organizations, such as the US AI Safety Institute and NIST, into the design and development of AI systems.",1.2 Risk Management
61,Yearly re-evaluation of safety procedures,"This entails a systematic annual review of all established safety protocols and operational procedures for AI systems to identify areas for improvement, adapt to new risks, and ensure continued effectiveness.",1.2 Risk Management
62,Systemic Risk Analysis,"Signatories commit to carrying out a rigorous analysis of the systemic risks identified in order to understand the severity and probability of the systemic risks. Signatories commit to making use of a range of information and methods in their systemic risk analysis including model-independent information and state-of-the-art model evaluations, taking into account model affordances, safe originator models, and the context in which the model may be made available on the market and/or used and its effects",1.2 Risk Management
64,Systemic Risk Acceptance Documentation,"Signatories commit to determining the acceptability of the systemic risks stemming from their GPAISRs by comparing the results of their systemic risk analysis to their pre-defined systemic risk acceptance criteria, in order to ensure proportionality between the systemic risks of the GPAISR and their mitigations.",1.2 Risk Management
65,Adequacy Assessments,Signatories commit to assessing the adequacy of their safety and security framework and to updating it based on new findings,1.2 Risk Management
66,Classification of applicable known risks,"Developers should address known risks in the literature using resources such as (Weidinger et al., 2022) or the AI Risk Repository (Slattery, et al., 2024). Developers should only exclude risks from the scope of their assessment in case of scientific agreement that the specific risk is negligible or unlikely to apply to the AI model under consideration. This decision should be clearly justified and documented.",1.2 Risk Management
69,Risk Tier Definition,"Consider the following factors when updating or defining risk tiers for GAI: Abuses and impacts to information integrity; Dependencies between GAI and other IT or data systems; Harm to fundamental rights or public safety; Presentation of obscene, objectionable, offensive, discriminatory, invalid or untruthful output; Psychological impacts to humans (e.g., anthropomorphization, algorithmic aversion, emotional entanglement); Possibility for malicious use; Whether the system introduces significant new security vulnerabilities; Anticipated system impact on some groups compared to others; Unreliable decision making capabilities, validity, adaptability, and variability of GAI system performance over time.",1.2 Risk Management
70,Risk Hierarchy Maintenance,"Maintain an updated hierarchy of identified and expected GAI risks connected to contexts of GAI model advancement and use, potentially including specialized risk levels for GAI systems that address issues such as model collapse and algorithmic monoculture.",1.2 Risk Management
71,Risk Tolerance Reassessment,"Reevaluate organizational risk tolerances to account for unacceptable negative risk (such as where significant negative impacts are imminent, severe harms are actually occurring, or large-scale risks could occur); and broad GAI negative risks, including: Immature safety or risk cultures related to AI and GAI design, development and deployment, public information integrity risks, including impacts on democratic processes, unknown long-term performance characteristics of GAI.",1.2 Risk Management
72,System Inventory Enumeration,Enumerate organizational GAI systems for incorporation into AI system inventory and adjust AI system inventory requirements to account for GAI risks.,1.2 Risk Management
73,Inventory Exemption Definition,Define any inventory exemptions in organizational policies for GAI systems embedded into application software.,1.2 Risk Management
74,Risk Measurement Improvement,"Establish policies and procedures that address continual improvement processes for GAI risk measurement. Address general risks associated with a lack of explainability and transparency in GAI systems by using ample documentation and techniques such as: application of gradient-based attributions, occlusion/term reduction, counterfactual prompts and prompt engineering, and analysis of embeddings; Assess and update risk measurement approaches at regular cadences",1.2 Risk Management
75,Supplier Risk Assessment,Implement a use-cased based supplier risk assessment framework to evaluate and monitor third-party entities' performance and adherence to content provenance standards and technologies to detect anomalies and unauthorized changes; services acquisition and value chain risk management; and legal compliance.,1.2 Risk Management
76,Due Diligence Process Update,"Update and integrate due diligence processes for GAI acquisition and procurement vendor assessments to include intellectual property, data privacy, security, and other risks. For example, update processes to: Address solutions that may rely on embedded GAI technologies; Address ongoing monitoring, assessments, and alerting, dynamic risk assessments, and real-time reporting tools for monitoring third-party GAI risks; Consider policy adjustments across GAI modeling libraries, tools and APIs, fine-tuned models, and embedded tools; Assess GAI vendors, open-source or proprietary GAI tools, or GAI service providers against incident or vulnerability databases.",1.2 Risk Management
78,Governance Connection,"Connect new GAI policies, procedures, and processes to existing model, data, software development, and IT governance and to legal, compliance, and risk management activities.",1.2 Risk Management
79,Risk-Based Feedback Prioritization,Prioritize GAI structured public feedback processes based on risk assessment estimates.,1.2 Risk Management
80,Unmeasurable Risk Tracking,"Track and document risks or opportunities related to all GAI risks that cannot be measured quantitatively, including explanations as to why some risks cannot be measured (e.g., due to technological limitations, resource constraints, or trustworthy considerations). Include unmeasured risks in marginal risks.",1.2 Risk Management
81,Risk Ownership by Capability,"Take responsibility for risk assessment and risk management tasks for which your organization has access to information, capability, or opportunity to develop capability sufficient for constructive action, or that is substantially greater than others in the value chain",1.2 Risk Management
82,Risk-Tolerance Thresholds,Set risk-tolerance thresholds to prevent unacceptable risks,1.2 Risk Management
83,Assess Catastrophic Risk,"Identify whether a GPAIS could lead to significant, severe, or catastrophic impacts, e.g., because of correlated failures or errors across high-stakes deployment domains, dan- gerous emergent behaviors or vulnerabilities, or harmful misuses and abuses",1.2 Risk Management
86,Monitoring of RM policies,"Ongoing monitoring and periodic review of the risk management process and its outcomes are planned and organizational roles and responsibilities clearly defined, including determining the frequency of periodic review.",1.2 Risk Management
87,Inventory AI Systems,Mechanisms are in place to inventory AI systems and are resourced according to organizational risk priorities.,1.2 Risk Management
88,Define AI Risk Roles,"Roles and responsibilities and lines of communication related to mapping, measuring, and managing AI risks are documented and are clear to individuals and teams throughout the organization.",1.2 Risk Management
89,Train on AI Risk,"The organization’s personnel and partners receive AI risk management training to enable them to perform their duties and responsibilities consistent with related policies, procedures, and agreements",1.2 Risk Management
90,Diverse Risk Voices,"Decision-making related to mapping, measuring, and managing AI risks throughout the lifecycle is informed by a diverse team (e.g., diversity of demographics, disciplines, experience, expertise, and backgrounds).",1.2 Risk Management
91,External Feedback on System Design,Mechanisms are established to enable the team that developed or deployed AI systems to regularly incorporate adjudicated feedback from relevant AI actors into system design and implementation.,1.2 Risk Management
93,Elicit Requirements & Assess Impacts,"System requirements (e.g., “the system shall respect the privacy of its users”) are elicited from and understood by relevant AI actors. Design decisions take socio-technical implications into account to address AI risks",1.2 Risk Management
94,Document AI Error Costs,"Potential costs, in- cluding non-monetary costs, which result from expected or realized AI errors or system func- tionality and trustwor- thiness – as connected to organizational risk tolerance – are exam- ined and documented.",1.2 Risk Management
95,Document Operator Proficiency,"Processes for operator and practitioner proficiency with AI system performance and trustworthiness – and relevant technical standards and certifications – are defined, assessed, and documented.",1.2 Risk Management
96,Document AI RM Third Party Framework,"Approaches for mapping AI technology and legal risks of its components – including the use of third-party data or software – are in place, followed, and docu- mented, as are risks of infringement of a third party’s intellectual prop- erty or other rights.",1.2 Risk Management
98,Assess & Document Risk Magnitude,"Likelihood and magnitude of each identified impact (both potentially beneficial and harmful) based on expected use, past uses of AI systems in similar contexts, public incident reports, feedback from those external to the team that developed or deployed the AI system, or other data are identified and documented.",1.2 Risk Management
99,Establish Feedback Integration Processes,"Practices and personnel for supporting regular engagement with relevant AI actors and integrating feedback about positive, negative, and unanticipated impacts are in place and documented.",1.2 Risk Management
100,Select & Document Risk Metrics,Approaches and metrics for measurement of AI risks enumerated during the Map function are selected for implementation starting with the most significant AI risks. The risks or trustworthiness characteristics that will not – or cannot – be measured are properly documented.,1.2 Risk Management
101,Evaluate Risk Metrics & Controls,"Appropriateness of AI metrics and effectiveness of existing controls are regularly assessed and updated, including reports of errors and potential impacts on affected communities.",1.2 Risk Management
102,Examine & Document Privacy Risk,Privacy risk of the AI system – as identified in the Map function – is examined and documented.,1.2 Risk Management
103,Evaluate & Document Fairness,Fairness and bias – as identified in the Map function – are evaluated and results are documented.,1.2 Risk Management
104,Track Emergent AI Risks,"Approaches, personnel, and documentation are in place to regularly identify and track existing, unanticipated, and emergent AI risks based on factors such as intended and actual performance in deployed contexts.",1.2 Risk Management
105,Consider Alternatives for Hard-to-Measure Risks,Risk tracking approaches are considered for settings where AI risks are difficult to assess using currently available measurement techniques or where metrics are not yet available.,1.2 Risk Management
106,Align Risk Metrics with Context,Measurement approach- es for identifying AI risks are connected to deployment context(s) and informed through consultation with do- main experts and other end users. Approaches are documented.,1.2 Risk Management
107,Prioritize Risk Treatment,"Treatment of documented AI risks is prioritized based on impact, likelihood, and available resources or methods.",1.2 Risk Management
108,Plan & Document Risk Responses,"Responses to the AI risks deemed high priority, as identified by the Map function, are developed, planned, and documented. Risk response options can include mitigating, transferring, avoiding, or accepting.",1.2 Risk Management
109,Document Residual Risks,Negative residual risks (defined as the sum of all unmitigated risks) to both downstream acquirers of AI systems and end users are documented.,1.2 Risk Management
110,Consider Resources & Alternatives,"Resources required to manage AI risks are taken into account – along with viable non-AI alternative systems, approaches, or methods – to reduce the magnitude or likelihood of potential impacts.",1.2 Risk Management
111,Monitor Third-Party Risks,"AI risks and benefits from third-party resources are regularly monitored, and risk controls are applied and documented.",1.2 Risk Management
112,Information Security,"Document trade-offs, decision processes, and relevant measurement and feedback results for risks that do not surpass organizational risk tolerance, for example, in the context of model release: Consider different approaches for model release, for example, leveraging a staged release approach. Consider release approaches in the context of the model and its projected use cases. Mitigate, transfer, or avoid risks that surpass organizational risk tolerances.",1.2 Risk Management
113,Value Chain and Component Integration; Intellectual Property,"Apply organizational risk tolerances and controls (e.g., acquisition and procurement processes; assessing personnel credentials and qualifications, performing background checks; filtering GAI input and outputs, grounding, fine tuning, retrieval-augmented generation) to third-party GAI resources: Apply organizational risk tolerance to the utilization of third-party datasets and other GAI resources; Apply organizational risk tolerances to fine-tuned third-party models; Apply organizational risk tolerance to existing third-party models adapted to a new domain; Reassess risk measurements after fine-tuning thirdparty GAI models",1.2 Risk Management
114,Information Integrity; Harmful Bias and Homogenization,"Collaborate with external researchers, industry experts, and community representatives to maintain awareness of emerging best practices and technologies in measuring and managing identified risks.",1.2 Risk Management
115,Rigorous Risk Assessment Processes,"Develop rigorous risk assessment processes for models, which: 1) Attempt to encompass all plausible and consequential risks from AI systems, including low-probability risks of severe harm; 2) Are informed by factors including, but not limited to: Model evaluations and red teaming, evidence of previous models' impacts and capabilities, knowledge of the latest research and developments in the field, domain expertise both internally and externally, and the results of data input audits. Take into account the difficulty of producing reliable risk assessments, creating a culture that takes seriously the significant uncertainty underlying predictions of the risks associated with frontier models. Take into account the potential benefits of the model. Include learnings from information exchanges with industry, academia and government on the capabilities of comparable models",1.2 Risk Management
116,Pre-Deployment Risk Assessments,"Devote resources to pre-development risk assessments, alongside prioritising pre- deployment risk assessments. Pre-development risk assessments are also important, because training a high-risk system can still lead to harm if the model is leaked, stolen, or otherwise unintentionally distributed.",1.2 Risk Management
117,Development and Post-Deployment Monitoring,"Monitor systems both during development and after deployment. New risk assessments could be carried out in cases of fine-tuning or other substantial changes that could increase the danger of a model, such as the model gaining access to tools or plugins. This could occur alongside attempts to detect unexpected developments and new information that might have changed the results of the existing risk assessment, and which could also trigger a new risk assessment.",1.2 Risk Management
118,Risk Thresholds for Specific Models,"Describe and continually refine risk assessment results for each model (“risk thresholds”) that would trigger particular risk-reducing actions, defining such results in terms of risk to all relevant stakeholders given currently existing mitigations. Given the high uncertainty around future model capabilities, risk thresholds may be refined periodically.",1.2 Risk Management
120,Operationalizing Risk Thresholds,"Operationalise risk thresholds, including specific, testable observations, such that multiple observers with access to the same information would agree on whether a given threshold had been met. Specific observations would provide frontier AI organisations with opportunities to determine proactively how they would respond in difficult potential situations, and so respond immediately to such situations should they arise, as well as allowing for accountability and external verification. Given the nascent science of AI evaluation, however, it is unlikely to be possible to define a set of testable observations that detect all identified risks sufficiently reliably. Instead of relying solely on these predefined tests, risk assessments may take into account wider sources of evidence, such as concerning and unexpected observations that show up in exploratory analyses, expert forecasts, or risk related information from other frontier AI organisations. In particular, consideration may be given to any risks caused by the combination of a given model with other models or tools, whether developed by the same frontier AI organisation or otherwise.",1.2 Risk Management
122,Mitigation of Overshooting Risk Thresholds,"Mitigate the risk of ‘overshooting’ risk thresholds. This may be achieved by setting deliberately conservative thresholds, including using intentionally lower buffer thresholds to trigger actions, such that the most concerning thresholds are difficult to overshoot without having already implemented mitigations at an earlier stage.",1.2 Risk Management
123,Risk Threshold Engagement with Relevant External Stakeholders,"Engage with relevant external stakeholders when developing risk thresholds. Risk thresholds often concern externalities frontier AI organisations place on society, including both the potentially significant benefits of AI advancement and negative effects that might disproportionately affect specific stakeholder groups. As such, their risk thresholds may be made public to allow for external scrutiny, with thresholds set in consultation with relevant external stakeholders including relevant government authorities.",1.2 Risk Management
124,Reassessment of Residual Risk,"After putting in place mitigations, reassess any residual risk posed to determine whether additional mitigations are required. Due to the unpredictability of capabilities advancements and the limitations of model evaluation science, pre-agreed mitigations may prove insufficient to place a given model within a risk threshold. Risk acceptance criteria may be used, as is standard in many other contexts, and may provide an important tool for clarification. These criteria may evolve with time, and could be quantitative or qualitative. For example, risk may only be accepted if it has been reduced to a level ‘as low as reasonably practicable’.",1.2 Risk Management
125,Disclosure of Risk Threshold to Government Authorities,"Inform relevant government authorities when a risk threshold has been met, along with proposed mitigations. Inform governments again, in advance of deployment, when the mitigations and residual risk assessment have been carried out. Proactively engage other relevant actors in addition to governments as appropriate.",1.2 Risk Management
126,Adaptation of Mitigations to Development and Deployment Stages,"When planning required mitigations, consider the full range of development and deployment stages. In general, meeting a risk threshold could require mitigations at multiple such stages. Important stages may include the following: 1) Continued training of model; 2) Deployment of model in small-scale ways, e.g., internal use; 3) Deployment of model in large-scale ways e.g., public release via API ; 4) Extension of model through greater affordances, e.g., tool use or internet access; 5) Irreversible deployment e.g. open-sourcing of models",1.2 Risk Management
127,Adaptation of Mitigations for Unintended Model Use,"Adapt mitigations in recognition of risks from unintended model use or use in unexpected contexts, such as a model that is modified to remove safeguards after open- sourcing or a model that is combined with another model for unanticipated purposes. For example, at a given risk threshold, information security control mitigations might be put in place before even internal use of a model within a frontier AI organisation. In general, the use of caution may be helpful, given current limitations in information security controls and the prediction of models’ emergent abilities.",1.2 Risk Management
128,Recognition of Dangerous Model Possession,"Recognise that even the possession of some models may be dangerous, even if not deployed or not deployed widely, due to the risk of being unable to secure a model sufficiently to prevent, for instance, a bad actor obtaining the model weights. In contrast, other models may pose significant risk only if deployed in a large-scale or irreversible way.",1.2 Risk Management
129,Risks of Open-Source Models,"Acknowledge that some models may pose additional risks if made available “open-source”, even after mitigation attempts. This is because of the inability of recalling an open-sourced model and the potential ability of users to remove safeguards and introduce new (and potentially dangerous) capabilities. However, it is also important to bear in mind the significant benefits of “open-source” AI systems for researchers, including for advancing AI safety, which may in some cases outweigh these potential risks.",1.2 Risk Management
130,Effective Risk Governance,"Establish effective risk governance to ensure that risks are appropriately identified, assessed, and addressed, and their nature and scale transparently reported. Most importantly, provide internal checks and balances, which may include thoughtful separation of roles within risk management.",1.2 Risk Management
131,Documentation of the Cyber security threats,Assess and document the cyber security threats against the AI system overall and mitigate the impact of vulnerabilities. Good documentation and monitoring will inform your overall risk posture and help you respond in the event of a security incident.,1.2 Risk Management
132,Value of AI-related Assets,"Understand the value of AI-related assets such as models, data (including user feedback), prompts, software, documentation, and assessments (including information about potentially unsafe capabilities and failure modes) to their organisation. Protect these different categories of information as appropriate.",1.2 Risk Management
133,Security Integration into Business Decisions,"Ensure security is factored into all business decisions and AI-related assets are identified and protected with proportionate cyber, physical and personnel security measures. Secure Innovation guidance from NCSC and NPSA is available to help companies and investors to protect their technology .",1.2 Risk Management
134,Awareness of Security Threats,"Maintain an awareness of security threats and failure modes, in particular data scientists and developers. AI development and cyber security are two different skill sets and building a team at the intersection of the two will require effort and time.",1.2 Risk Management
135,Model of System Threats in Misuse Scenarios,"Model the threats to your system to understand the impacts to the system, users, organisation and wider society if the model is misused or behaves unexpectedly. This can help build systems where unanticipated model outputs are handled safely by other parts of a data pipeline.",1.2 Risk Management
136,Identification of Assets of Organizational Value,"Identify assets & systems that are important for the delivery of effective operations, or are of specific organisational value (e.g. commercially sensitive information)",1.2 Risk Management
137,Categorization of Assets,Categorise and classify assets in order to ensure that the correct level of resource is used in implementing risk mitigations. - risk management,1.2 Risk Management
138,Threat Identification,"Identify threats. These may include terrorism or hostile state threats and/or more local and specific threats, and use a range of internal and external resources.",1.2 Risk Management
139,Risk Assessment via Recognized Processes,Assess risk using recognised processes.,1.2 Risk Management
140,Protective Security Risk Register,"Build a protective security risk register to record, in sufficient detail, all the data gathered during this risk management process, ensuring compatibility with existing organisational risk management registers and processes.",1.2 Risk Management
141,Development of Protective Security Strategy,"Develop a protective security strategy for mitigating the risks identified, which reviews protective security measures in relation to a prioritised list of risks. Where mitigations are assessed as inadequate, additional measures could be proposed for approval by the decision maker(s).",1.2 Risk Management
142,Development and Implementation Plans,"Produce development & implementation plans. Aim to arrive at a clear, prioritised list of protective security mitigations, which span physical, personnel and cyber security disciplines, and are linked to the technical guidance needed to implement them.",1.2 Risk Management
143,Regular Risk Management Review,"Review risk management measures regularly and when required e.g. on a change in threat or change to operational environment, or to assess the suitability of new measures implemented. More detailed description of protective security risk management is provided on the NPSA website.",1.2 Risk Management
144,Role-Based Security Risk Assessment,"Use Role-Based Security Risk Assessment to identify physical, personnel or cyber security measures that need to be applied in order to mitigate insider risk",1.2 Risk Management
145,Use of Established Security Guidance,"Use established, evidence based guidance to fully address personnel security risks e.g. NPSA guidance on Personnel Security",1.2 Risk Management
146,Input Data Audits for Pre-Development/deployment Risk Assessments,"Use input data audits to inform pre-development and pre-deployment risk assessments. Data audits may be particularly valuable in pre-development risk assessments, where direct evidence of system behaviour will not be available. Input data audits can also be used to improve context-based understanding of how data impacts system capabilities, which will strengthen future risk assessments and mitigation techniques.",1.2 Risk Management
147,Demonstrating a “margin of safety” for the worst plausible system failures,"Model developers can demonstrate that there is an acceptable “margin of safety” between the current version of the model and a plausible version with dangerous capabilities or potential system failures, whether these arise from the model itself or through scaffolding. This “margin of safety” can be tracked and evaluated based on the model’s performance on either component tasks or proxy tasks with varying levels of difficulty [44], and it is particularly relevant for general- purpose models with emergent properties, where some of the risks, use cases, and model capabilities may be unknown even at the time of deployment. Margin of safety (also called “safety factor”) is a common practice in many in- dustries - particularly in physical structures. It is common for this margin to be very conservative when feasible (e.g., 4+ in fasteners on critical structures). In situations where a high margin of safety is impractical, it may be supplemented by more frequent inspections and additional process controls. A lower safety factor can also be managed by adopting conservative assumptions regarding worst-case conditions.",1.2 Risk Management
